#########################
Begin Lexical Analysis...
#########################
############
Lexer Output
############
CP = 0   Type = id	Data = begin	Pos = (0, 0)
CP = 76  Type = sig	Data = ;	Pos = (14, 30)
CP = 77  Type = id	Data = terminal_symlol	Pos = (0, 32)
CP = 78  Type = sig	Data = ::=	Pos = (16, 32)
CP = 79  Type = token	Data = LIT	Pos = (20, 32)
CP = 80  Type = sig	Data = |	Pos = (18, 33)
CP = 81  Type = token	Data = TOKEN	Pos = (20, 33)
CP = 82  Type = sig	Data = ;	Pos = (18, 34)
CP = 83  Type = id	Data = non_terminal_symbol	Pos = (0, 36)
CP = 84  Type = sig	Data = ::=	Pos = (20, 36)
CP = 85  Type = token	Data = ID	Pos = (24, 36)
CP = 86  Type = sig	Data = ;	Pos = (27, 36)
CP = 87  Type = id	Data = a	Pos = (0, 38)
CP = 88  Type = sig	Data = ::=	Pos = (2, 38)
CP = 89  Type = dlit	Data = ","	Pos = (6, 38)
CP = 90  Type = brac	Data = {	Pos = (10, 38)
CP = 91  Type = brac	Data = [	Pos = (11, 38)
CP = 92  Type = id	Data = b	Pos = (12, 38)
CP = 93  Type = brac	Data = ]	Pos = (13, 38)
CP = 94  Type = token	Data = C	Pos = (15, 38)
CP = 95  Type = brac	Data = }	Pos = (16, 38)
CP = 96  Type = sig	Data = ;	Pos = (18, 38)
###########################
Begin Syntactic Analysis...
###########################
SS = 3	CP = 0	Deduce statement
SS = 4	CP = 0	  Deduce non_terminal_symbol
SS = 4	CP = 0	    Match  id
SS = 4	CP = 0	    Accept id
SS = 4	CP = 1	  Accept non_terminal_symbol
SS = 4	CP = 1	  Deduce assign_op
SS = 5	CP = 1	    Match  ::=
SS = 5	CP = 1	    Accept ::=
SS = 4	CP = 2	  Accept assign_op
SS = 4	CP = 2	  Deduce declaration
SS = 5	CP = 2	    Deduce term
SS = 6	CP = 2	      Deduce part
SS = 8	CP = 2	        Deduce repeat_part
SS = 8	CP = 2	          Match  {
SS = 8	CP = 2	          Accept {
SS = 9	CP = 3	          Deduce declaration
SS = 10	CP = 3	            Deduce term
SS = 11	CP = 3	              Deduce part
SS = 11	CP = 3	                Predict Failed in CONDITION
SS = 11	CP = 3	                Predict Failed in CONDITION
SS = 11	CP = 3	                Predict Failed in CONDITION
SS = 13	CP = 3	                Deduce simple_part
SS = 15	CP = 3	                  Deduce right_non_terminal_symbol
SS = 16	CP = 3	                    Deduce non_terminal_symbol
SS = 16	CP = 3	                      Match  id
SS = 16	CP = 3	                      Accept id
SS = 16	CP = 4	                    Accept non_terminal_symbol
SS = 15	CP = 4	                  Accept right_non_terminal_symbol
SS = 13	CP = 4	                Accept simple_part
SS = 11	CP = 4	              Accept part
SS = 12	CP = 4	              Match  ,
SS = 12	CP = 4	              Reject ,
SS = 11	CP = 4	              Predict Failed: part
SS = 10	CP = 4	            Accept term
SS = 10	CP = 4	            Match  |
SS = 10	CP = 4	            Reject |
SS = 9	CP = 4	          Accept declaration
SS = 8	CP = 4	          Match  }
SS = 8	CP = 4	          Accept }
SS = 8	CP = 5	        Accept repeat_part
SS = 6	CP = 5	      Accept part
SS = 7	CP = 5	      Match  ,
SS = 7	CP = 5	      Reject ,
SS = 6	CP = 5	      Predict Failed: part
SS = 5	CP = 5	    Accept term
SS = 5	CP = 5	    Match  |
SS = 5	CP = 5	    Reject |
SS = 4	CP = 5	  Accept declaration
SS = 4	CP = 5	  Deduce end_op
SS = 5	CP = 5	    Match  ;
SS = 5	CP = 5	    Accept ;
SS = 4	CP = 6	  Accept end_op
SS = 3	CP = 6	Accept statement
SS = 3	CP = 6	Deduce statement
SS = 4	CP = 6	  Deduce non_terminal_symbol
SS = 4	CP = 6	    Match  id
SS = 4	CP = 6	    Accept id
SS = 4	CP = 7	  Accept non_terminal_symbol
SS = 4	CP = 7	  Deduce assign_op
SS = 5	CP = 7	    Match  ::=
SS = 5	CP = 7	    Accept ::=
SS = 4	CP = 8	  Accept assign_op
SS = 4	CP = 8	  Deduce declaration
SS = 5	CP = 8	    Deduce term
SS = 6	CP = 8	      Deduce part
SS = 6	CP = 8	        Predict Failed in CONDITION
SS = 6	CP = 8	        Predict Failed in CONDITION
SS = 6	CP = 8	        Predict Failed in CONDITION
SS = 8	CP = 8	        Deduce simple_part
SS = 10	CP = 8	          Deduce right_non_terminal_symbol
SS = 11	CP = 8	            Deduce non_terminal_symbol
SS = 11	CP = 8	              Match  id
SS = 11	CP = 8	              Accept id
SS = 11	CP = 9	            Accept non_terminal_symbol
SS = 10	CP = 9	          Accept right_non_terminal_symbol
SS = 8	CP = 9	        Accept simple_part
SS = 6	CP = 9	      Accept part
SS = 7	CP = 9	      Match  ,
SS = 7	CP = 9	      Reject ,
SS = 7	CP = 9	      Deduce part
SS = 7	CP = 9	        Predict Failed in CONDITION
SS = 7	CP = 9	        Predict Failed in CONDITION
SS = 7	CP = 9	        Predict Failed in CONDITION
SS = 9	CP = 9	        Deduce simple_part
SS = 11	CP = 9	          Deduce right_non_terminal_symbol
SS = 12	CP = 9	            Deduce non_terminal_symbol
SS = 12	CP = 9	              Match  id
SS = 12	CP = 9	              Accept id
SS = 12	CP = 10	            Accept non_terminal_symbol
SS = 11	CP = 10	          Accept right_non_terminal_symbol
SS = 9	CP = 10	        Accept simple_part
SS = 7	CP = 10	      Accept part
SS = 7	CP = 10	      Match  ,
SS = 7	CP = 10	      Reject ,
SS = 7	CP = 10	      Deduce part
SS = 7	CP = 10	        Predict Failed in CONDITION
SS = 7	CP = 10	        Predict Failed in CONDITION
SS = 7	CP = 10	        Predict Failed in CONDITION
SS = 9	CP = 10	        Deduce simple_part
SS = 11	CP = 10	          Deduce right_non_terminal_symbol
SS = 12	CP = 10	            Deduce non_terminal_symbol
SS = 12	CP = 10	              Match  id
SS = 12	CP = 10	              Accept id
SS = 12	CP = 11	            Accept non_terminal_symbol
SS = 11	CP = 11	          Accept right_non_terminal_symbol
SS = 9	CP = 11	        Accept simple_part
SS = 7	CP = 11	      Accept part
SS = 7	CP = 11	      Match  ,
SS = 7	CP = 11	      Reject ,
SS = 7	CP = 11	      Deduce part
SS = 7	CP = 11	        Predict Failed in CONDITION
SS = 7	CP = 11	        Predict Failed in CONDITION
SS = 7	CP = 11	        Predict Failed in CONDITION
SS = 9	CP = 11	        Deduce simple_part
SS = 11	CP = 11	          Deduce right_non_terminal_symbol
SS = 12	CP = 11	            Deduce non_terminal_symbol
SS = 12	CP = 11	              Match  id
SS = 12	CP = 11	              Accept id
SS = 12	CP = 12	            Accept non_terminal_symbol
SS = 11	CP = 12	          Accept right_non_terminal_symbol
SS = 9	CP = 12	        Accept simple_part
SS = 7	CP = 12	      Accept part
SS = 7	CP = 12	      Match  ,
SS = 7	CP = 12	      Reject ,
SS = 6	CP = 12	      Predict Failed: part
SS = 5	CP = 12	    Accept term
SS = 5	CP = 12	    Match  |
SS = 5	CP = 12	    Reject |
SS = 4	CP = 12	  Accept declaration
SS = 4	CP = 12	  Deduce end_op
SS = 5	CP = 12	    Match  ;
SS = 5	CP = 12	    Accept ;
SS = 4	CP = 13	  Accept end_op
SS = 3	CP = 13	Accept statement
SS = 3	CP = 13	Deduce statement
SS = 4	CP = 13	  Deduce non_terminal_symbol
SS = 4	CP = 13	    Match  id
SS = 4	CP = 13	    Accept id
SS = 4	CP = 14	  Accept non_terminal_symbol
SS = 4	CP = 14	  Deduce assign_op
SS = 5	CP = 14	    Match  ::=
SS = 5	CP = 14	    Accept ::=
SS = 4	CP = 15	  Accept assign_op
SS = 4	CP = 15	  Deduce declaration
SS = 5	CP = 15	    Deduce term
SS = 6	CP = 15	      Deduce part
SS = 6	CP = 15	        Predict Failed in CONDITION
SS = 6	CP = 15	        Predict Failed in CONDITION
SS = 6	CP = 15	        Predict Failed in CONDITION
SS = 8	CP = 15	        Deduce simple_part
SS = 8	CP = 15	          Predict Failed in CONDITION
SS = 10	CP = 15	          Deduce terminal_symbol
SS = 11	CP = 15	            Match  slit
SS = 11	CP = 15	            Accept slit
SS = 10	CP = 16	          Accept terminal_symbol
SS = 8	CP = 16	        Accept simple_part
SS = 6	CP = 16	      Accept part
SS = 7	CP = 16	      Match  ,
SS = 7	CP = 16	      Reject ,
SS = 6	CP = 16	      Predict Failed: part
SS = 5	CP = 16	    Accept term
SS = 5	CP = 16	    Match  |
SS = 5	CP = 16	    Accept |
SS = 6	CP = 17	    Deduce term
SS = 7	CP = 17	      Deduce part
SS = 7	CP = 17	        Predict Failed in CONDITION
SS = 7	CP = 17	        Predict Failed in CONDITION
SS = 7	CP = 17	        Predict Failed in CONDITION
SS = 9	CP = 17	        Deduce simple_part
SS = 9	CP = 17	          Predict Failed in CONDITION
SS = 11	CP = 17	          Deduce terminal_symbol
SS = 12	CP = 17	            Match  slit
SS = 12	CP = 17	            Accept slit
SS = 11	CP = 18	          Accept terminal_symbol
SS = 9	CP = 18	        Accept simple_part
SS = 7	CP = 18	      Accept part
SS = 8	CP = 18	      Match  ,
SS = 8	CP = 18	      Reject ,
SS = 7	CP = 18	      Predict Failed: part
SS = 6	CP = 18	    Accept term
SS = 5	CP = 18	    Match  |
SS = 5	CP = 18	    Reject |
SS = 4	CP = 18	  Accept declaration
SS = 4	CP = 18	  Deduce end_op
SS = 5	CP = 18	    Match  ;
SS = 5	CP = 18	    Accept ;
SS = 4	CP = 19	  Accept end_op
SS = 3	CP = 19	Accept statement
SS = 3	CP = 19	Deduce statement
SS = 4	CP = 19	  Deduce non_terminal_symbol
SS = 4	CP = 19	    Match  id
SS = 4	CP = 19	    Accept id
SS = 4	CP = 20	  Accept non_terminal_symbol
SS = 4	CP = 20	  Deduce assign_op
SS = 5	CP = 20	    Match  ::=
SS = 5	CP = 20	    Accept ::=
SS = 4	CP = 21	  Accept assign_op
SS = 4	CP = 21	  Deduce declaration
SS = 5	CP = 21	    Deduce term
SS = 6	CP = 21	      Deduce part
SS = 6	CP = 21	        Predict Failed in CONDITION
SS = 6	CP = 21	        Predict Failed in CONDITION
SS = 6	CP = 21	        Predict Failed in CONDITION
SS = 8	CP = 21	        Deduce simple_part
SS = 8	CP = 21	          Predict Failed in CONDITION
SS = 10	CP = 21	          Deduce terminal_symbol
SS = 11	CP = 21	            Match  slit
SS = 11	CP = 21	            Accept slit
SS = 10	CP = 22	          Accept terminal_symbol
SS = 8	CP = 22	        Accept simple_part
SS = 6	CP = 22	      Accept part
SS = 7	CP = 22	      Match  ,
SS = 7	CP = 22	      Reject ,
SS = 6	CP = 22	      Predict Failed: part
SS = 5	CP = 22	    Accept term
SS = 5	CP = 22	    Match  |
SS = 5	CP = 22	    Accept |
SS = 6	CP = 23	    Deduce term
SS = 7	CP = 23	      Deduce part
SS = 7	CP = 23	        Predict Failed in CONDITION
SS = 7	CP = 23	        Predict Failed in CONDITION
SS = 7	CP = 23	        Predict Failed in CONDITION
SS = 9	CP = 23	        Deduce simple_part
SS = 9	CP = 23	          Predict Failed in CONDITION
SS = 11	CP = 23	          Deduce terminal_symbol
SS = 11	CP = 23	            Predict Failed in CONDITION
SS = 12	CP = 23	            Match  dlit
SS = 12	CP = 23	            Accept dlit
SS = 11	CP = 24	          Accept terminal_symbol
SS = 9	CP = 24	        Accept simple_part
SS = 7	CP = 24	      Accept part
SS = 8	CP = 24	      Match  ,
SS = 8	CP = 24	      Reject ,
SS = 7	CP = 24	      Predict Failed: part
SS = 6	CP = 24	    Accept term
SS = 5	CP = 24	    Match  |
SS = 5	CP = 24	    Reject |
SS = 4	CP = 24	  Accept declaration
SS = 4	CP = 24	  Deduce end_op
SS = 5	CP = 24	    Match  ;
SS = 5	CP = 24	    Accept ;
SS = 4	CP = 25	  Accept end_op
SS = 3	CP = 25	Accept statement
SS = 3	CP = 25	Deduce statement
SS = 4	CP = 25	  Deduce non_terminal_symbol
SS = 4	CP = 25	    Match  id
SS = 4	CP = 25	    Accept id
SS = 4	CP = 26	  Accept non_terminal_symbol
SS = 4	CP = 26	  Deduce assign_op
SS = 5	CP = 26	    Match  ::=
SS = 5	CP = 26	    Accept ::=
SS = 4	CP = 27	  Accept assign_op
SS = 4	CP = 27	  Deduce declaration
SS = 5	CP = 27	    Deduce term
SS = 6	CP = 27	      Deduce part
SS = 6	CP = 27	        Predict Failed in CONDITION
SS = 6	CP = 27	        Predict Failed in CONDITION
SS = 6	CP = 27	        Predict Failed in CONDITION
SS = 8	CP = 27	        Deduce simple_part
SS = 10	CP = 27	          Deduce right_non_terminal_symbol
SS = 11	CP = 27	            Deduce non_terminal_symbol
SS = 11	CP = 27	              Match  id
SS = 11	CP = 27	              Accept id
SS = 11	CP = 28	            Accept non_terminal_symbol
SS = 10	CP = 28	          Accept right_non_terminal_symbol
SS = 8	CP = 28	        Accept simple_part
SS = 6	CP = 28	      Accept part
SS = 7	CP = 28	      Match  ,
SS = 7	CP = 28	      Reject ,
SS = 7	CP = 28	      Deduce part
SS = 9	CP = 28	        Deduce repeat_part
SS = 9	CP = 28	          Match  {
SS = 9	CP = 28	          Accept {
SS = 10	CP = 29	          Deduce declaration
SS = 11	CP = 29	            Deduce term
SS = 12	CP = 29	              Deduce part
SS = 12	CP = 29	                Predict Failed in CONDITION
SS = 12	CP = 29	                Predict Failed in CONDITION
SS = 12	CP = 29	                Predict Failed in CONDITION
SS = 14	CP = 29	                Deduce simple_part
SS = 14	CP = 29	                  Predict Failed in CONDITION
SS = 16	CP = 29	                  Deduce terminal_symbol
SS = 17	CP = 29	                    Match  slit
SS = 17	CP = 29	                    Accept slit
SS = 16	CP = 30	                  Accept terminal_symbol
SS = 14	CP = 30	                Accept simple_part
SS = 12	CP = 30	              Accept part
SS = 13	CP = 30	              Match  ,
SS = 13	CP = 30	              Reject ,
SS = 13	CP = 30	              Deduce part
SS = 13	CP = 30	                Predict Failed in CONDITION
SS = 13	CP = 30	                Predict Failed in CONDITION
SS = 13	CP = 30	                Predict Failed in CONDITION
SS = 15	CP = 30	                Deduce simple_part
SS = 17	CP = 30	                  Deduce right_non_terminal_symbol
SS = 18	CP = 30	                    Deduce non_terminal_symbol
SS = 18	CP = 30	                      Match  id
SS = 18	CP = 30	                      Accept id
SS = 18	CP = 31	                    Accept non_terminal_symbol
SS = 17	CP = 31	                  Accept right_non_terminal_symbol
SS = 15	CP = 31	                Accept simple_part
SS = 13	CP = 31	              Accept part
SS = 13	CP = 31	              Match  ,
SS = 13	CP = 31	              Reject ,
SS = 12	CP = 31	              Predict Failed: part
SS = 11	CP = 31	            Accept term
SS = 11	CP = 31	            Match  |
SS = 11	CP = 31	            Reject |
SS = 10	CP = 31	          Accept declaration
SS = 9	CP = 31	          Match  }
SS = 9	CP = 31	          Accept }
SS = 9	CP = 32	        Accept repeat_part
SS = 7	CP = 32	      Accept part
SS = 7	CP = 32	      Match  ,
SS = 7	CP = 32	      Reject ,
SS = 6	CP = 32	      Predict Failed: part
SS = 5	CP = 32	    Accept term
SS = 5	CP = 32	    Match  |
SS = 5	CP = 32	    Reject |
SS = 4	CP = 32	  Accept declaration
SS = 4	CP = 32	  Deduce end_op
SS = 5	CP = 32	    Match  ;
SS = 5	CP = 32	    Accept ;
SS = 4	CP = 33	  Accept end_op
SS = 3	CP = 33	Accept statement
SS = 3	CP = 33	Deduce statement
SS = 4	CP = 33	  Deduce non_terminal_symbol
SS = 4	CP = 33	    Match  id
SS = 4	CP = 33	    Accept id
SS = 4	CP = 34	  Accept non_terminal_symbol
SS = 4	CP = 34	  Deduce assign_op
SS = 5	CP = 34	    Match  ::=
SS = 5	CP = 34	    Accept ::=
SS = 4	CP = 35	  Accept assign_op
SS = 4	CP = 35	  Deduce declaration
SS = 5	CP = 35	    Deduce term
SS = 6	CP = 35	      Deduce part
SS = 6	CP = 35	        Predict Failed in CONDITION
SS = 6	CP = 35	        Predict Failed in CONDITION
SS = 6	CP = 35	        Predict Failed in CONDITION
SS = 8	CP = 35	        Deduce simple_part
SS = 10	CP = 35	          Deduce right_non_terminal_symbol
SS = 11	CP = 35	            Deduce non_terminal_symbol
SS = 11	CP = 35	              Match  id
SS = 11	CP = 35	              Accept id
SS = 11	CP = 36	            Accept non_terminal_symbol
SS = 10	CP = 36	          Accept right_non_terminal_symbol
SS = 8	CP = 36	        Accept simple_part
SS = 6	CP = 36	      Accept part
SS = 7	CP = 36	      Match  ,
SS = 7	CP = 36	      Reject ,
SS = 7	CP = 36	      Deduce part
SS = 9	CP = 36	        Deduce repeat_part
SS = 9	CP = 36	          Match  {
SS = 9	CP = 36	          Accept {
SS = 10	CP = 37	          Deduce declaration
SS = 11	CP = 37	            Deduce term
SS = 12	CP = 37	              Deduce part
SS = 12	CP = 37	                Predict Failed in CONDITION
SS = 12	CP = 37	                Predict Failed in CONDITION
SS = 14	CP = 37	                Deduce alternative_part
SS = 14	CP = 37	                  Match  [
SS = 14	CP = 37	                  Accept [
SS = 15	CP = 38	                  Deduce declaration
SS = 16	CP = 38	                    Deduce term
SS = 17	CP = 38	                      Deduce part
SS = 17	CP = 38	                        Predict Failed in CONDITION
SS = 17	CP = 38	                        Predict Failed in CONDITION
SS = 17	CP = 38	                        Predict Failed in CONDITION
SS = 19	CP = 38	                        Deduce simple_part
SS = 19	CP = 38	                          Predict Failed in CONDITION
SS = 21	CP = 38	                          Deduce terminal_symbol
SS = 22	CP = 38	                            Match  slit
SS = 22	CP = 38	                            Accept slit
SS = 21	CP = 39	                          Accept terminal_symbol
SS = 19	CP = 39	                        Accept simple_part
SS = 17	CP = 39	                      Accept part
SS = 18	CP = 39	                      Match  ,
SS = 18	CP = 39	                      Reject ,
SS = 17	CP = 39	                      Predict Failed: part
SS = 16	CP = 39	                    Accept term
SS = 16	CP = 39	                    Match  |
SS = 16	CP = 39	                    Reject |
SS = 15	CP = 39	                  Accept declaration
SS = 14	CP = 39	                  Match  ]
SS = 14	CP = 39	                  Accept ]
SS = 14	CP = 40	                Accept alternative_part
SS = 12	CP = 40	              Accept part
SS = 13	CP = 40	              Match  ,
SS = 13	CP = 40	              Reject ,
SS = 13	CP = 40	              Deduce part
SS = 13	CP = 40	                Predict Failed in CONDITION
SS = 13	CP = 40	                Predict Failed in CONDITION
SS = 13	CP = 40	                Predict Failed in CONDITION
SS = 15	CP = 40	                Deduce simple_part
SS = 17	CP = 40	                  Deduce right_non_terminal_symbol
SS = 18	CP = 40	                    Deduce non_terminal_symbol
SS = 18	CP = 40	                      Match  id
SS = 18	CP = 40	                      Accept id
SS = 18	CP = 41	                    Accept non_terminal_symbol
SS = 17	CP = 41	                  Accept right_non_terminal_symbol
SS = 15	CP = 41	                Accept simple_part
SS = 13	CP = 41	              Accept part
SS = 13	CP = 41	              Match  ,
SS = 13	CP = 41	              Reject ,
SS = 12	CP = 41	              Predict Failed: part
SS = 11	CP = 41	            Accept term
SS = 11	CP = 41	            Match  |
SS = 11	CP = 41	            Reject |
SS = 10	CP = 41	          Accept declaration
SS = 9	CP = 41	          Match  }
SS = 9	CP = 41	          Accept }
SS = 9	CP = 42	        Accept repeat_part
SS = 7	CP = 42	      Accept part
SS = 7	CP = 42	      Match  ,
SS = 7	CP = 42	      Reject ,
SS = 6	CP = 42	      Predict Failed: part
SS = 5	CP = 42	    Accept term
SS = 5	CP = 42	    Match  |
SS = 5	CP = 42	    Reject |
SS = 4	CP = 42	  Accept declaration
SS = 4	CP = 42	  Deduce end_op
SS = 5	CP = 42	    Match  ;
SS = 5	CP = 42	    Accept ;
SS = 4	CP = 43	  Accept end_op
SS = 3	CP = 43	Accept statement
SS = 3	CP = 43	Deduce statement
SS = 4	CP = 43	  Deduce non_terminal_symbol
SS = 4	CP = 43	    Match  id
SS = 4	CP = 43	    Accept id
SS = 4	CP = 44	  Accept non_terminal_symbol
SS = 4	CP = 44	  Deduce assign_op
SS = 5	CP = 44	    Match  ::=
SS = 5	CP = 44	    Accept ::=
SS = 4	CP = 45	  Accept assign_op
SS = 4	CP = 45	  Deduce declaration
SS = 5	CP = 45	    Deduce term
SS = 6	CP = 45	      Deduce part
SS = 6	CP = 45	        Predict Failed in CONDITION
SS = 6	CP = 45	        Predict Failed in CONDITION
SS = 6	CP = 45	        Predict Failed in CONDITION
SS = 8	CP = 45	        Deduce simple_part
SS = 10	CP = 45	          Deduce right_non_terminal_symbol
SS = 11	CP = 45	            Deduce non_terminal_symbol
SS = 11	CP = 45	              Match  id
SS = 11	CP = 45	              Accept id
SS = 11	CP = 46	            Accept non_terminal_symbol
SS = 10	CP = 46	          Accept right_non_terminal_symbol
SS = 8	CP = 46	        Accept simple_part
SS = 6	CP = 46	      Accept part
SS = 7	CP = 46	      Match  ,
SS = 7	CP = 46	      Reject ,
SS = 6	CP = 46	      Predict Failed: part
SS = 5	CP = 46	    Accept term
SS = 5	CP = 46	    Match  |
SS = 5	CP = 46	    Accept |
SS = 6	CP = 47	    Deduce term
SS = 7	CP = 47	      Deduce part
SS = 7	CP = 47	        Predict Failed in CONDITION
SS = 7	CP = 47	        Predict Failed in CONDITION
SS = 7	CP = 47	        Predict Failed in CONDITION
SS = 9	CP = 47	        Deduce simple_part
SS = 11	CP = 47	          Deduce right_non_terminal_symbol
SS = 12	CP = 47	            Deduce non_terminal_symbol
SS = 12	CP = 47	              Match  id
SS = 12	CP = 47	              Accept id
SS = 12	CP = 48	            Accept non_terminal_symbol
SS = 11	CP = 48	          Accept right_non_terminal_symbol
SS = 9	CP = 48	        Accept simple_part
SS = 7	CP = 48	      Accept part
SS = 8	CP = 48	      Match  ,
SS = 8	CP = 48	      Reject ,
SS = 7	CP = 48	      Predict Failed: part
SS = 6	CP = 48	    Accept term
SS = 5	CP = 48	    Match  |
SS = 5	CP = 48	    Accept |
SS = 6	CP = 49	    Deduce term
SS = 7	CP = 49	      Deduce part
SS = 7	CP = 49	        Predict Failed in CONDITION
SS = 7	CP = 49	        Predict Failed in CONDITION
SS = 7	CP = 49	        Predict Failed in CONDITION
SS = 9	CP = 49	        Deduce simple_part
SS = 11	CP = 49	          Deduce right_non_terminal_symbol
SS = 12	CP = 49	            Deduce non_terminal_symbol
SS = 12	CP = 49	              Match  id
SS = 12	CP = 49	              Accept id
SS = 12	CP = 50	            Accept non_terminal_symbol
SS = 11	CP = 50	          Accept right_non_terminal_symbol
SS = 9	CP = 50	        Accept simple_part
SS = 7	CP = 50	      Accept part
SS = 8	CP = 50	      Match  ,
SS = 8	CP = 50	      Reject ,
SS = 7	CP = 50	      Predict Failed: part
SS = 6	CP = 50	    Accept term
SS = 5	CP = 50	    Match  |
SS = 5	CP = 50	    Accept |
SS = 6	CP = 51	    Deduce term
SS = 7	CP = 51	      Deduce part
SS = 7	CP = 51	        Predict Failed in CONDITION
SS = 7	CP = 51	        Predict Failed in CONDITION
SS = 7	CP = 51	        Predict Failed in CONDITION
SS = 9	CP = 51	        Deduce simple_part
SS = 11	CP = 51	          Deduce right_non_terminal_symbol
SS = 12	CP = 51	            Deduce non_terminal_symbol
SS = 12	CP = 51	              Match  id
SS = 12	CP = 51	              Accept id
SS = 12	CP = 52	            Accept non_terminal_symbol
SS = 11	CP = 52	          Accept right_non_terminal_symbol
SS = 9	CP = 52	        Accept simple_part
SS = 7	CP = 52	      Accept part
SS = 8	CP = 52	      Match  ,
SS = 8	CP = 52	      Reject ,
SS = 7	CP = 52	      Predict Failed: part
SS = 6	CP = 52	    Accept term
